,Name,Party,Position,Text
10,Christopher Chope,Conservative,"Conservative, Christchurch", Order. We have limited time and the hon. Gentleman has now gone over his time limit. I call Virginia Crosbie. 
11,Virginia Crosbie,Conservative,"Conservative, Ynys Môn"," It is an absolute pleasure to serve under your chairmanship, Sir Christopher, and I thank my right hon. Friend Kwasi Kwarteng for calling this important debate. A McKinsey report has stated that the global net zero transition could be worth a trillion pounds to the UK and support just under half a million UK jobs  by 2030. It has been described as the economic opportunity of the 21st century. It is recognised that the fastest and most reliable way for the UK to achieve net zero and energy security is to pursue a programme of new nuclear build. I entered the House in 2019 to represent the constituents of Ynys Môn. They have lived with nuclear power at Wylfa since the 1960s. I stood on a mandate to do everything I could to bring new nuclear to Wylfa. The majority of my constituents support nuclear. They know it is clean, they know it is safe and they know it brings jobs. But Wylfa is being decommissioned, as other nuclear plants have been across the UK. Despite 30 years of promises and the good will of local people, it has yet to be replaced. Anglesey is known as “energy island”. We have wind, wave, solar, tidal and hydrogen—and, hopefully, new nuclear if I have anything to do with it. Geographically, Wylfa is probably the best new nuclear site in the UK, if not Europe. My constituents in the surrounding area, including Cemlyn, Tregele, Cemaes and Amlwch, and right across Anglesey, desperately need the employment it would offer and give the site that all-important social licence. I have seen many steps on the way to new nuclear at Wylfa: the British energy security strategy, which specifically mentions Wylfa; the launch of the £120 million future nuclear enabling fund at Wylfa by my right hon. Friend Kwasi Kwarteng, who is sitting beside me; and the Nuclear Energy (Financing) Bill. However, we have yet to see the spades in the ground that the people of Ynys Môn and the UK need. Building nuclear plants takes years. Just going through development consent takes years. In the building of Hinkley C and Sizewell C, we are developing a new generation of nuclear skills that we will lose if there is nothing for them to move on to. We need a plan for how and when we will roll out the Government’s goal of a one gigawatt nuclear reactor going to financial investment decision in this Parliament and two going to financial investment decisions in the next Parliament. We currently produce 3.9 GW of energy from nuclear. That is forecast to decline to 3.2 GW by 2030, with all but one of our nuclear power stations going off line in the next decade. As chair of the all-party parliamentary group on small nuclear reactors, I welcome the SMR competition announced by the Chancellor in the spring Budget. I am looking forward to the launch of Great British Nuclear and it is brilliant news that for the first time we have a nuclear Minister. Other countries are taking bold and ambitious steps on investment and action in the move to net zero. Without a similar response, we risk losing out on new opportunities and potential economic gains. We have shown that as a Government we can move at speed when we face a crisis. In the Minister’s summing up, I want to hear—given that we are just 27 years away from 2050, we are in a crisis—the Government’s plan to grasp the opportunity and to build new nuclear at Wylfa. Diolch yn fawr. "
12,Selaine Saxby,Conservative,"Conservative, North Devon"," It is a privilege to serve with you in the Chair, Sir Christopher. Many thanks to my right hon. Friend Kwasi Kwarteng—it is a pleasure to be back discussing floating offshore wind with him. As chair of the all-party parliamentary group for the Celtic sea, both he and the Minister have spoken to me at length on this issue. I fully support the UK Government’s commitment to ensuring that floating offshore wind makes up 5 GW of energy by 2030, but everyone will recall that the Celtic wind blows the other way to the wind in the North sea, which is why it is vital that this project goes ahead. The recent administrative strike price in the allocation round for contracts for difference did not, unfortunately, take into account the unprecedented global economic pressures that have led to costs rising by 20%. An already challenging picture in the Celtic sea has been exacerbated by delays in leasing rounds for projects by the Crown Estate, as well as the lengthy amount of time that key strategic ports have had to wait for the Government to announce the much welcomed floating offshore wind manufacturing investment scheme, which is essential to the funding to deliver port infrastructure. I fear that, at this pace, we will miss the opportunities of flow in the Celtic sea by 2030, and potentially deter much needed international investment into the Celtic sea. I agree with my right hon. Friend on buildings, but I have a particular concern as a very rural MP. Some decisions around rurality and how we change our housing need to be looked at differently. That is why I supported  the ten-minute rule Bill of my right hon. Friend George Eustice on hydrotreated vegetable oil as an alternative for oil fired, which is used in 25% of off-grid properties. I would like to come to biomass. I declare an interest as chair of the all-party parliamentary group for the wood panel industry, which is not the stuff on the walls but basically kitchens and the like. I thank the Minister for his engagement on this matter. In my mind, burning wood for energy is a short-sighted and environmentally damaging endeavour. Wood is too valuable a resource to simply burn, given it is the best way to sequester carbon and avoids the use of environmentally damaging materials in the economy. Wood-dependent industries are struggling to get the wood supply they need. Addressing that should be a focus of policymakers. We need to change direction. We cannot rely on bioenergy with carbon capture and storage for energy security under net zero scenarios. We are fooling ourselves if we think that we can. Proponents argue that BECCS will help to contribute to energy security, but that is inaccurate. BECCS comes with an energy penalty, as it requires energy to power the CCS unit and to provide power to the grid. Because of that, BECCS can either maximise power generation or CO2 capture. It cannot do both. Given that it was previously reported by the Financial Times that the regulator had appointed a Drax consultant, Black and Veatch, to carry out an assurance audit into the company, I hope that the formal investigation recently announced by Ofgem will be carried out independently, thoroughly and transparently. It should not be a desk-based inquiry, as has been the case before. As we look to these new technologies, it is vital that they really are sustainable and that we are on the right road towards net zero. We have not touched much on transport. As an active travel champion, I am concerned that tomorrow’s National Audit Office report will again show that we are not meeting the goals to achieve our active travel measures and that we need to do more to decarbonise every different element of our society. The transition to net zero is a multifaceted mission that needs a robust and well-calculated response, with each part fully calculating its energy contribution and all its carbon costs, including transportation. Those need to be properly analysed along with their financial contributions in generating the energy that we fundamentally rely on. The new Exeter University EC simulator, which I visited last week, may well be a step towards independent analysis of different projects as we continue the challenging but vital work of moving towards net zero. "
13,Gavin Newlands,Labour,Shadow SNP Spokesperson (Transport)," It is a pleasure to serve with you in the Chair, Sir Christopher. I admire the chutzpah of Kwasi Kwarteng in bringing forward the debate. Not only did he make questionable decisions as Secretary of State for Business, Energy and Industrial Strategy with regard to Scotland’s net zero ambitions, but he was then responsible—along with the previous Prime Minister—for crashing the economy and making net zero far more expensive for this Government, as well as everyone else, due to the soaring cost of borrowing for capital investment. The right hon. Member spoke about nuclear energy; we really need to move away from the nuclear obsession. Hinkley will now cost £33 billion and it is years late. Sizewell C, which will invariably cost upwards of £40 billion, is located on a site subject to coastal erosion and climate change sea rises. SMRs are not the answer, either. There is no approved design, they have an estimated cost of £2 billion each and Rolls-Royce is hoping for an initial order of up to 15. That is £30 billion of commitment better spent on energy-efficiency measures, storage and the electrification of heating. Nuclear is also inflexible and not a good accompaniment for intermittent renewables. Yet further investment in storage is therefore required. The right hon. Member described pumped-storage hydro as a Scottish technology. The First Minister recently wrote to the Prime Minister urging him to agree a cap and floor mechanism that will get Coire Glas, the Cruachan extension and other pumped-storage hydro schemes up and running. They cost a fraction of what nuclear does and need only the revenue mechanism to release private capital investment. Contracts for difference have been a success in delivering the deployment of renewables. However, in the Tories’ typical penny-wise, pound-foolish attitude, their lowest cost obsession has seen a major failure to develop UK supply chains properly. It is Tory procurement processes that have prevented Scotland from properly becoming the Saudi Arabia of wind. It is crystal-clear that a coherent industrial strategy is required. That said, I am pretty sure that we had one, and we all know what happened to it lately. The failure to invest—[Interruption.] "
14,Christopher Chope,Conservative,"Conservative, Christchurch", Does Kwasi Kwarteng seek to intervene? 
15,Kwasi Kwarteng,Conservative,"Conservative, Spelthorne", I would be happy to do so. 
16,Gavin Newlands,Labour,Shadow SNP Spokesperson (Transport), I would be delighted to give way. 
17,Kwasi Kwarteng,Conservative,"Conservative, Spelthorne"," Of course, the hon. Member is quite right that I, with the then Chancellor, suppressed the industrial strategy, but what we have done—[Interruption.] Thank you very much—I thought we had stringent rules about phones and calls and that sort of thing, but it seems to me that every time I speak, someone has got their phone on. Anyway, we have got an innovation strategy and an energy security strategy. We have tons and tons of strategy, and that more than fills the gap of what was a woolly and ill-defined industrial strategy. "
18,Gavin Newlands,Labour,Shadow SNP Spokesperson (Transport)," I thank the former Secretary of State and Chancellor for his intervention, but I profoundly disagree with his take on this. I will go on to talk about this at the end of my speech, but the strategies he mentions do not have much in them. If we look under the bonnet, there is nothing there. For him to say that those strategies more than make up for the loss of the industrial strategy is for the birds, to be quite honest. The failure to invest in upgrading the transmission system between England and Scotland has resulted in nearly £5 billion-worth of constraint payments—money that could and should have been invested in grid upgrades. Developers in Scottish waters are now having to connect to the grid in the north-east of England, bypassing  Scotland altogether. That said, it is one way to avoid the utterly ridiculous and outrageous additional grid charges that penalise developers in Scotland. The right hon. Member was also in post for the further betrayal of Acorn CCS, which is the most advanced project and the one with most delivery certainty, but it is still waiting for Government support. That belies the Tory commitment to net zero. My hon. Friend Alan Brown and I have visited several businesses and projects in the highlands, Orkney and Aberdeen that are hugely important to reaching our net zero targets. Storegga, of the Acorn Scottish cluster, was one, and another was the hugely impressive European Marine Energy Centre in Orkney—the real energy island in the UK. Not content with providing innovators the platform with which to test tidal energy, EMEC has come up with solutions to add value to the energy produced, including an electrolyser complemented by storage batteries producing green hydrogen, which in turn is to power other projects such as a combined heat and power unit at Kirkwall airport and a hydrogen fuel cell at Kirkwall harbour to provide clean shore power to ships tied up there. I say “is to”, because delivery of the hydrogen is an issue. Apparently, due to Maritime and Coastguard Agency regulations, the hydrogen can only be delivered if there is no freight and fewer than 25 passengers on the ferry. Those regulations seriously curtail EMEC’s good efforts. Come to think of it, where is the Government’s coherent strategy on delivering hydrogen, full stop? They talk hydrogen up often enough, but those who are producing it struggle to deliver it. You could not make it up, Sir Christopher. It is obvious that tidal stream needs a bigger ringfence than it currently has. As is often the case, we lead on innovation, research and development in this country but, just at the point where a new sector needs public sector investment to ensure that we retain that lead and the supply chain benefits that flow from it, the UK once again prevaricates and allows someone else to reap the economic benefits. To conclude, there is a big risk that allocation round 5 will be a complete failure, like last year’s Spanish auction, with strike rates now too low due to inflation and rising costs, as mentioned previously. Again, the Government—more specifically, the Treasury—are tone-deaf, as they are in their attitude to the Inflation Reduction Act in the United States, which is causing investors to rebalance their portfolios across the Atlantic. The Government are now taking credit for work undertaken by the Scottish Government; whether it is tree planting or zero-emission buses, they have subsumed the Scottish targets into UK targets to hide their own failures. No doubt active travel will be next. The Tories’ record on net zero is a litany of failure; when we look under the bonnet, there is no mechanism nor the required investment for delivery. Scotland is doing so much more, but with one arm tied behind its back. As in so many other areas, Westminster is holding Scotland back. "
19,Kerry McCarthy,Labour,Shadow Minister (Climate Change and Net Zero)," It is a pleasure to see you in the Chair, Sir Christopher. I congratulate Kwasi Kwarteng on securing this debate. I am pleased to see that he is still pursuing an interest in net zero. I agree with some of what he said, but there were some points I would have liked him to cover. For example, when he talked about the grid, as Gavin Newlands has just said, the biggest problem is not the question where the pylons go in east Anglia, but the lack of grid connectivity, which is a massive obstacle to economic growth. That is something we need to solve as we move towards greater use of electricity in our industrial sector. Three former Business Secretaries, from the Lib Dems, Conservatives and Labour, have all come together today to bemoan the lack of an industrial strategy, so I do not agree with the right hon. Member for Spelthorne on that. He talked about retrofitting homes, which is obviously important, but it would help if we stopped building homes that do not meet energy performance certificate C standard. We are compounding the problem, having built more than 1 million homes since the zero carbon homes pledge was dropped that do not meet that standard. The right hon. Member for Spelthorne mentioned green levies and incentives for decarbonisation. It would have been interesting to hear his thoughts on the hydrogen levy. We were in the Energy Bill Committee earlier today and it must be said that, based on Second Reading of that Bill, there is a lot of unhappiness on both sides of the House. We will oppose the hydrogen levy on bills, and I would welcome his support on that, because I do not think we should be putting the burden on consumers when it is mostly industry that will benefit. "
20,Kwasi Kwarteng,Conservative,"Conservative, Spelthorne"," Just to clarify, is Labour opposing the hydrogen levy on bills, or its removal? "
21,Kerry McCarthy,Labour,Shadow Minister (Climate Change and Net Zero)," The House of Lords voted against the hydrogen levy on bills on the basis that it is a regressive measure and we should not be adding to the burden on consumers. We support that position; the Government think that it should go on bills, where it is the industry that benefits. There have been reports that the Secretary of State is due to U-turn on that position very soon, so the right hon. Member might want to be ahead of the curve and jump the right way before the Secretary of State does. "
22,Kwasi Kwarteng,Conservative,"Conservative, Spelthorne"," I am sure that the Secretary of State does not need my encouragement, or otherwise, to come to the right decision. "
23,Kerry McCarthy,Labour,Shadow Minister (Climate Change and Net Zero)," I am sure that the right hon. Member would be a very persuasive voice. The Government’s commitment to a net zero target is to be welcomed, but a target for a date set far into the future—2050—is pretty meaningless unless it is backed up by a comprehensive road map as to how we are going to get there. We know that the majority of that journey needs to be done in the very early years, with just the hard-to-decarbonise sectors following at the end, so we need to know how much ground we are going to cover and when. The Government were taken to court on this issue last year, with the High Court ruling that they had provided insufficient detail. There  was a big hype about “green day” at the end of March; eventually, the Government decided that it was not quite green enough and changed its name to something else, but what we got was a plan that—even in terms of our 2030 nationally determined contribution—only sets out how we would deliver 92% of that. We are still way off track. Net zero is not a slogan or a mere box-ticking exercise: it is a whole paradigm shift that we must instigate, as a country and as a global community. Scientists are warning that we are likely to breach the 1.5° threshold in the next four years. We are running out of time, and we need to do everything as fast as we can. There has been a lot of negativity in recent days about net zero, with people pushing back against Labour’s announcement that we would not support any new oil and gas licences. Again, people have been repeating that old trope that it is too expensive to reach net zero, when we know that renewables are far cheaper now. The Government do not seem to grasp that this is a huge challenge for the country, but as has been said, it is also an enormous opportunity. Chris Skidmore, who authored the recent net zero review, said that it is “the economic opportunity of the decade—if not the century” to create a new economy. As the right hon. Member for Spelthorne mentioned, President Biden has not only recognised that opportunity, but seized it with the Inflation Reduction Act, and the EU has responded with its green deal industrial plan. The Chancellor has said that he will come up with a response in the autumn, which is at least better than the response from the Energy Secretary, who tells us that the UK is already decades ahead of the USA. The Minister has said that the rest of the world is “playing catch-up” with us. We do have 22% of the world’s offshore wind installations, as I suspect the Minister will tell us, but we have only 2% of global wind industry jobs—that is just one example. A country such as Denmark, which recognises the export opportunities, has over eight times as many jobs as the UK for the equivalent wind energy capacity. Businesses I meet now are describing the Inflation Reduction Act as a game changer, and are warning that they will transfer investments to the US. There have been occasional success stories—the news that Jaguar Land Rover is set to establish a gigafactory in the south-west, in Bridgwater, is very welcome—but that comes with a sense of relief that that company has made that announcement, rather than real confidence that there is a coherent industrial strategy that will deliver the 10 gigafactories that the Faraday Institution predicts we need. I would dispute the Minister’s suggestion that we are decades ahead: we need to have a coherent industrial strategy, a response to the Inflation Reduction Act sooner rather than later, and a revised net zero strategy that shows that we really are on course to meet that goal. "
24,Graham Stuart,Conservative,Minister of State (Department for Energy Security and Net Zero)," It is a great pleasure to serve under your chairmanship, Sir Christopher, and to listen to this excellent and important debate. I begin by congratulating my right hon. Friend Kwasi Kwarteng on securing it. Of course, I come to this  debate with some trepidation, as I am facing someone who did my job previously and then, unlike me—yet, anyway—went on to be Secretary of State at what was then the Department for Business, Energy and Industrial Strategy. He made immense progress on our path to net zero and energy security I would not normally be rude, but I hope that Gavin Newlands can perhaps move on, as we debate more often, from a rather adolescent approach to one that more genuinely engages with the substance. His was not a particularly brilliant contribution to this debate in comparison with those made by other Members, which I thought actually had some substance. My right hon. Friend the Member for Spelthorne oversaw the publication of the landmark, world-leading net zero strategy. The independent Climate Change Committee described it as “an ambitious and comprehensive strategy that marks a significant step forward for UK climate policy” and as “the world’s most comprehensive plan to reach net zero”. It is worth highlighting a couple of points. When we came to power in 2010, just 7% of this country’s electricity came from renewables; now it is well over 40%. The issue of insulation and the number of houses being insulated was also raised. I do not know why the Liberal Democrat member who raised it, Richard Foord, is no longer here for the winding-up speeches, but anyway—he raised it before leaving the Chamber. It is worth noting that in 2010 the figure was just 14% and by the end of this year I expect that 50% of homes will have reached energy performance certificate level C or above, which is a huge—indeed, transformative—change, albeit one that needs to go much further and faster. My right hon. Friend the Member for Spelthorne oversaw COP26, which was the biggest summit that this country has ever hosted. It brought together 120 world leaders and over 38,000 key figures from Governments, civil society, businesses, youth and more, in order to tackle the urgent challenge of climate change. It is also worth noting that we have met all our carbon budgets to date and that we are the first major economy to legislate for net zero—done under this Government. So this country is more on track than almost any other country and certainly more than any major economy on earth. That is the context that people could be forgiven for not realising was in fact the case from the rather adolescent contribution of the Scottish National party spokesman. I will leave to one side any comments that the chairman of the Climate Change Committee has made about the Scottish Government’s performance in meeting their climate targets, because doing otherwise would be to descend to the level that the SNP spokesman stayed at throughout his speech. "
25,Barry Gardiner,Labour,"Labour, Brent North"," When the Minister says that this country is “more on track”, does that mean that we are “on track” or that we are just closer to being “on track” than anybody else? "
