,source,id,url,parent_url,cc_url,content_truncated,result,mention_number,result_text
11,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,4," should know
ten things to know about the new tax-free childcare scheme.
from:
hm treasury, department for education, hm revenue & customs, and prime minister's office, 10 downing street
published
18 march 2014
last updated
18 march 2016 — see all updates
tax-free childcare will be available to around 2 million households to help with the cost of childcare, enabling more parents to go out to work, if they want to, to provide greater security for their families.
to find out about all the government’s childca"
12,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,5,"elp with the cost of childcare, enabling more parents to go out to work, if they want to, to provide greater security for their families.
to find out about all the government’s childcare offers visit the childcare choices website.
ten things to know about tax-free childcare:
1. you’ll be able to open an online account
you’ll be able to open an online account, which you can pay into to cover the cost of childcare with a registered provider. this will be done through the government website, gov.uk.
tax-free c"
13,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,6,"now about tax-free childcare:
1. you’ll be able to open an online account
you’ll be able to open an online account, which you can pay into to cover the cost of childcare with a registered provider. this will be done through the government website, gov.uk.
tax-free childcare will be introduced on 21 april 2017, and will then be gradually rolled out over 2017, with parents of children aged under four (on 31 august), and parents of disabled children aged under 17 able to enter the scheme first.
you’ll be able "
14,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,7,"earning at least £120 a week and not more than £100,000 each per year
the scheme is designed to be flexible for parents if, for example, they want to get back to work after the birth of a child or work part-time.
5. any eligible working family can use the tax-free childcare scheme - it doesn’t rely on employers offering it
tax-free childcare doesn’t rely on employers offering the scheme, unlike the current scheme employer-supported childcare. any working family can use tax-free childcare, provided they meet"
15,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,8,"
the scheme is designed to be flexible for parents if, for example, they want to get back to work after the birth of a child or work part-time.
5. any eligible working family can use the tax-free childcare scheme - it doesn’t rely on employers offering it
tax-free childcare doesn’t rely on employers offering the scheme, unlike the current scheme employer-supported childcare. any working family can use tax-free childcare, provided they meet the eligibility requirements.
6. the scheme will be available for pa"
16,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,9,"y eligible working family can use the tax-free childcare scheme - it doesn’t rely on employers offering it
tax-free childcare doesn’t rely on employers offering the scheme, unlike the current scheme employer-supported childcare. any working family can use tax-free childcare, provided they meet the eligibility requirements.
6. the scheme will be available for parents who are self-employed
self-employed parents will be able to get support with childcare costs in tax-free childcare, unlike the current scheme ("
17,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,10,"upported childcare. any working family can use tax-free childcare, provided they meet the eligibility requirements.
6. the scheme will be available for parents who are self-employed
self-employed parents will be able to get support with childcare costs in tax-free childcare, unlike the current scheme (employer-supported childcare) which is not available to self-employed parents. to support newly self-employed parents, the government is introducing a ‘start-up’ period. during this, self-employed parents won’"
18,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,11,"e level.
the scheme will be available to parents on paid sick leave and paid and unpaid statutory maternity, paternity and adoption leave.
7. if you currently receive employer-supported childcare then you can continue to do so
you do not have to switch to tax-free childcare if you do not wish to. employer-supported childcare will continue to run. the current scheme will remain open to new entrants until april 2018. parents already registered by this date will be able to continue using it for as long as thei"
19,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,12,"t wish to. employer-supported childcare will continue to run. the current scheme will remain open to new entrants until april 2018. parents already registered by this date will be able to continue using it for as long as their employer offers it.
however, tax-free childcare will be open to more than twice as many parents as employer-supported childcare.
employers’ workplace nurseries won’t be affected by the introduction of tax-free childcare.
8. parents and others can pay money into their childcare account"
20,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,13,"will be able to continue using it for as long as their employer offers it.
however, tax-free childcare will be open to more than twice as many parents as employer-supported childcare.
employers’ workplace nurseries won’t be affected by the introduction of tax-free childcare.
8. parents and others can pay money into their childcare account as and when they like
this gives you the flexibility to pay in more in some months, and less at other times. this means you can build up a balance in your account to use a"
21,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,14,"hange to who is eligible - parents of the youngest children will now be able to apply first
27 november 2015
updated to reflect that parents in work need to earn over £100 a week and not more than £100,000 per year
3 july 2015
updated to reflect confirmed tax-free childcare launch.
24 march 2014
updated to reflect that tax-free childcare will also be available for children with disabilities up to the age of 17.
18 march 2014
first published.
related content
wraparound and holiday childcare: responding to re"
22,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,15,"now be able to apply first
27 november 2015
updated to reflect that parents in work need to earn over £100 a week and not more than £100,000 per year
3 july 2015
updated to reflect confirmed tax-free childcare launch.
24 march 2014
updated to reflect that tax-free childcare will also be available for children with disabilities up to the age of 17.
18 march 2014
first published.
related content
wraparound and holiday childcare: responding to requests
childcare for service children
30 hours free childcare: el"
23,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,16,"ildren with disabilities up to the age of 17.
18 march 2014
first published.
related content
wraparound and holiday childcare: responding to requests
childcare for service children
30 hours free childcare: eligibility codes issued and validated
sign up to tax-free childcare if you’re a childcare provider
tax-free childcare
explore the topic
parenting, childcare and children's services
personal tax reform
uk economy
is this page useful?
maybe
yes this page is useful
no this page is not useful
thank you for y"
24,df_selected_urls_2024_p1,793,https://www.gov.uk/government/news/tax-free-childcare-10-things-parents-should-know,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474412.46/wet/CC-MAIN-20240223121413-20240223151413-00256.warc.wet.gz,"tax-free childcare: 10 things parents should know - gov.uk
cookies on gov.uk
we use some essential c",tax-free childcare,17,"arch 2014
first published.
related content
wraparound and holiday childcare: responding to requests
childcare for service children
30 hours free childcare: eligibility codes issued and validated
sign up to tax-free childcare if you’re a childcare provider
tax-free childcare
explore the topic
parenting, childcare and children's services
personal tax reform
uk economy
is this page useful?
maybe
yes this page is useful
no this page is not useful
thank you for your feedback
report a problem with this page
help "
25,df_selected_urls_2024_p1,876,https://www.gov.uk/government/news/changes-to-crisis-loans-protecting-the-vulnerable,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474526.76/wet/CC-MAIN-20240224080616-20240224110616-00298.warc.wet.gz,"changes to crisis loans – protecting the vulnerable - gov.uk
cookies on gov.uk
we use some essential",Sure Start,1,"009-10.
social fund: the current scheme
the social fund currently consists of a discretionary and a regulated scheme.
discretionary scheme: community care grants, budgeting loans and crisis loans.
regulated scheme: cold weather payments, funeral payments, sure start maternity grants and winter fuel payments.
social fund: reform
we have already announced as part of wider welfare reform that the discretionary elements will be reformed from 2013.
the welfare reform white paper announced that local authorities "
26,df_selected_urls_2024_p1,1129,https://www.gov.uk/government/news/alternative-provision-overhaul-to-fix-broken-system-and-improve-standards,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474544.15/wet/CC-MAIN-20240224180245-20240224210245-00028.warc.wet.gz,"alternative provision: overhaul to fix ‘broken system’ and improve standards - gov.uk
cookies on gov",free school meals,1,"ar. of children involved in the riots and brought before the courts, two thirds had special educational needs and on average missed almost one day of school a week. they were also more likely to live in the 10 per cent lowest income areas, to be receiving free school meals and to have been excluded from school at least once.
charlie taylor said:
we currently have a flawed system that fails to provide suitable education and proper accountability for some of the most vulnerable children in the country. if we "
27,df_selected_urls_2024_p1,1129,https://www.gov.uk/government/news/alternative-provision-overhaul-to-fix-broken-system-and-improve-standards,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474544.15/wet/CC-MAIN-20240224180245-20240224210245-00028.warc.wet.gz,"alternative provision: overhaul to fix ‘broken system’ and improve standards - gov.uk
cookies on gov",School meals,1,"f children involved in the riots and brought before the courts, two thirds had special educational needs and on average missed almost one day of school a week. they were also more likely to live in the 10 per cent lowest income areas, to be receiving free school meals and to have been excluded from school at least once.
charlie taylor said:
we currently have a flawed system that fails to provide suitable education and proper accountability for some of the most vulnerable children in the country. if we fail "
28,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",free school meals,1,"at coalition government
england’s most disadvantaged pupils are set to benefit from an extra £58 each after the department for education announced this year’s pupil premium will increase to £488.
schools receive the extra cash for every child eligible for free school meals (fsms). the money has been released because fewer-than-expected children have registered for fsms this year.
children’s minister sarah teather said:
the pupil premium will benefit poorer pupils, providing extra money directly for those pu"
29,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",free school meals,2,"an-expected children have registered for fsms this year.
children’s minister sarah teather said:
the pupil premium will benefit poorer pupils, providing extra money directly for those pupils who need it the most.
we know that just 27 per cent of pupils on free school meals get 5 good gcse grades compared with 54 per cent of non-free school meal pupils. this extra funding will help tackle this inequality and enable schools to provide the extra support they need to reach their full potential.
news of the extr"
30,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",free school meals,3,"gh the scheme.
notes for editors
the national, regional, local authority and school level allocations of the pupil premium for 2011 to 2012 can be found on our website.
the pupil premium for 2011 to 2012 is allocated to all pupils known to be eligible for free school meals in january 2011. the number of pupils registering in january 2011, although higher than in january 2010, was not as high as predicted when the level of the per pupil premium was announced last december. therefore, not all funding availabl"
31,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",School meals,1,"alition government
england’s most disadvantaged pupils are set to benefit from an extra £58 each after the department for education announced this year’s pupil premium will increase to £488.
schools receive the extra cash for every child eligible for free school meals (fsms). the money has been released because fewer-than-expected children have registered for fsms this year.
children’s minister sarah teather said:
the pupil premium will benefit poorer pupils, providing extra money directly for those pupils "
32,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",School meals,2,"pected children have registered for fsms this year.
children’s minister sarah teather said:
the pupil premium will benefit poorer pupils, providing extra money directly for those pupils who need it the most.
we know that just 27 per cent of pupils on free school meals get 5 good gcse grades compared with 54 per cent of non-free school meal pupils. this extra funding will help tackle this inequality and enable schools to provide the extra support they need to reach their full potential.
news of the extra cas"
33,df_selected_urls_2024_p1,1336,https://www.gov.uk/government/news/pupil-premium-schools-to-get-even-more-cash-this-year,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00605.warc.wet.gz,"pupil premium: schools to get even more cash this year - gov.uk
cookies on gov.uk
we use some essent",School meals,3,"e scheme.
notes for editors
the national, regional, local authority and school level allocations of the pupil premium for 2011 to 2012 can be found on our website.
the pupil premium for 2011 to 2012 is allocated to all pupils known to be eligible for free school meals in january 2011. the number of pupils registering in january 2011, although higher than in january 2010, was not as high as predicted when the level of the per pupil premium was announced last december. therefore, not all funding available for"
34,df_selected_urls_2024_p1,1379,https://www.gov.uk/government/news/mossbourne-to-open-new-academy-in-hackney,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00778.warc.wet.gz,"mossbourne to open new academy in hackney - gov.uk
cookies on gov.uk
we use some essential cookies t",free school meals,1,"d how effective their model is and how well pupils can do.
mossbourne community academy opened in 2004. it was built on the site of hackney downs school, which was closed in 1995 because it was failing. 41 per cent of pupils at mossbourne are eligible for free school meals. in addition 23 per cent have been identified as having special educational needs.
its achievements include:
82 per cent of pupils getting five good gcses including english and maths this year.
ofsted rating it ‘outstanding’ in two consec"
35,df_selected_urls_2024_p1,1379,https://www.gov.uk/government/news/mossbourne-to-open-new-academy-in-hackney,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474573.20/wet/CC-MAIN-20240225003942-20240225033942-00778.warc.wet.gz,"mossbourne to open new academy in hackney - gov.uk
cookies on gov.uk
we use some essential cookies t",School meals,1," effective their model is and how well pupils can do.
mossbourne community academy opened in 2004. it was built on the site of hackney downs school, which was closed in 1995 because it was failing. 41 per cent of pupils at mossbourne are eligible for free school meals. in addition 23 per cent have been identified as having special educational needs.
its achievements include:
82 per cent of pupils getting five good gcses including english and maths this year.
ofsted rating it ‘outstanding’ in two consecutive"
36,df_selected_urls_2024_p1,1581,https://www.gov.uk/government/news/disadvantaged-school-children-to-benefit-from-125-billion-funding-from-april-2012,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474641.34/wet/CC-MAIN-20240225171204-20240225201204-00530.warc.wet.gz,"disadvantaged school children to benefit from £1.25 billion funding from april 2012 - gov.uk
cookies",free school meals,1,"nment’s pupil premium will extend to cover 1.77 million disadvantaged children
pupil premium
over half a million additional children will also qualify for the premium as the government has extended its reach to cover any child that has been registered for free school meals (fsm) in the past six years. for 2012-13, the premium will be worth £1.25 billion in total.
children who have been eligible for free school meals at any point in their school career have consistently lower educational attainment than thos"
37,df_selected_urls_2024_p1,1581,https://www.gov.uk/government/news/disadvantaged-school-children-to-benefit-from-125-billion-funding-from-april-2012,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474641.34/wet/CC-MAIN-20240225171204-20240225201204-00530.warc.wet.gz,"disadvantaged school children to benefit from £1.25 billion funding from april 2012 - gov.uk
cookies",free school meals,2,"lify for the premium as the government has extended its reach to cover any child that has been registered for free school meals (fsm) in the past six years. for 2012-13, the premium will be worth £1.25 billion in total.
children who have been eligible for free school meals at any point in their school career have consistently lower educational attainment than those who have never been eligible. in 2009-10 gcse statistics showed that around a third of pupils who have been on free school meals in the previous"
38,df_selected_urls_2024_p1,1581,https://www.gov.uk/government/news/disadvantaged-school-children-to-benefit-from-125-billion-funding-from-april-2012,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474641.34/wet/CC-MAIN-20240225171204-20240225201204-00530.warc.wet.gz,"disadvantaged school children to benefit from £1.25 billion funding from april 2012 - gov.uk
cookies",free school meals,3,"ldren who have been eligible for free school meals at any point in their school career have consistently lower educational attainment than those who have never been eligible. in 2009-10 gcse statistics showed that around a third of pupils who have been on free school meals in the previous six years achieved five or more a*- c grades, compared to more than two thirds of their fellow pupils. pupils at secondary school are also less likely to be registered for free school meals even when they are eligible and "
39,df_selected_urls_2024_p1,1581,https://www.gov.uk/government/news/disadvantaged-school-children-to-benefit-from-125-billion-funding-from-april-2012,www.gov.uk,https://data.commoncrawl.org/crawl-data/CC-MAIN-2024-10/segments/1707947474641.34/wet/CC-MAIN-20240225171204-20240225201204-00530.warc.wet.gz,"disadvantaged school children to benefit from £1.25 billion funding from april 2012 - gov.uk
cookies",free school meals,4,"ed that around a third of pupils who have been on free school meals in the previous six years achieved five or more a*- c grades, compared to more than two thirds of their fellow pupils. pupils at secondary school are also less likely to be registered for free school meals even when they are eligible and so are more likely to be picked up by this approach.
the pupil premium provides additional funding on top of the main funding a school receives. it is targeted at pupils from disadvantaged backgrounds to en"
